,eta,nesterov,reg_type,reg_val,accuracy,loss,val_loss
0,0.01,0.55,L2,1e-07,1.5371963538173692,0.004087920821962313,1.9543187071576884
1,0.01,0.55,L2,1e-08,1.5252902075132344,0.004334831896609874,1.9527595786419099
2,0.01,0.55,L2,1e-06,1.52911791742463,0.004166494388551152,1.9393491701224772
3,0.01,0.55,L2,1e-05,1.6201764374663103,0.004878868239790336,2.0434328318419146
4,0.01,0.57,L2,1e-07,1.5384637493754088,0.004189698397422752,1.9646603889590566
5,0.01,0.57,L2,1e-08,1.535081955121594,0.004107375215992201,1.9521235547145948
6,0.01,0.57,L2,1e-06,1.5130826036166718,0.0040578884394289645,1.9060776028463902
7,0.01,0.57,L2,1e-05,1.6085395047247453,0.0048372804582461895,2.026637886468693
8,0.01,0.59,L2,1e-07,1.5325505606719603,0.003920142954019602,1.9110878418866146
9,0.01,0.59,L2,1e-08,1.5381738588546874,0.003804901608346079,1.950143095290527
10,0.01,0.59,L2,1e-06,1.5485398738541674,0.00433958769238815,1.9598992975450642
11,0.01,0.59,L2,1e-05,1.6070476615432756,0.004841527641885971,2.0297542486544486
12,0.01,0.61,L2,1e-07,1.5110925017410173,0.003610343010599503,1.881356936326651
13,0.01,0.61,L2,1e-08,1.5351030606957867,0.0037692922917267092,1.9333402319582509
14,0.01,0.61,L2,1e-06,1.52798652514689,0.003978788232035025,1.902414840128186
15,0.01,0.61,L2,1e-05,1.6042617467076503,0.004801701654003378,2.0224867922487646
16,0.01,0.63,L2,1e-07,1.5333859140899833,0.0036922079833578134,1.9200761406859739
17,0.01,0.63,L2,1e-08,1.5363846542853041,0.004279901767455798,1.9711900930189266
18,0.01,0.63,L2,1e-06,1.5203288532314598,0.003937179669575233,1.9172996246481688
19,0.01,0.63,L2,1e-05,1.6014348576036836,0.004777844113716622,2.018543450913381
20,0.01,0.65,L2,1e-07,1.534107324544456,0.004100285947597688,1.9245835744375668
21,0.01,0.65,L2,1e-08,1.5445821470639416,0.004294451880496981,1.9866294457271154
22,0.01,0.65,L2,1e-06,1.5207565165838506,0.0039651891501071975,1.8973784932301954
23,0.01,0.65,L2,1e-05,1.5983535003426583,0.004770928017449417,2.014767596477849
24,0.03,0.55,L2,1e-07,1.5399637969211348,0.004239479094027418,1.9761241421615567
25,0.03,0.55,L2,1e-08,1.5566540708516303,0.004156529315918474,1.9907423266016877
26,0.03,0.55,L2,1e-06,1.5436481563433369,0.0041449099972601725,1.9667490075607292
27,0.03,0.55,L2,1e-05,1.532764986498784,0.004242410261517966,1.941388241869964
28,0.03,0.57,L2,1e-07,1.5259770262185752,0.0037580701001461107,1.9081816067654345
29,0.03,0.57,L2,1e-08,1.522756895597978,0.003908894189762416,1.8991359562022438
30,0.03,0.57,L2,1e-06,1.5296563580411142,0.00398408508263487,1.9628963254380754
31,0.03,0.57,L2,1e-05,1.54167389488521,0.004395622143390162,1.9594660306623084
32,0.03,0.59,L2,1e-07,1.535291196832483,0.003890396462685372,1.9493830766175406
33,0.03,0.59,L2,1e-08,1.5380872211696,0.0038871342052529206,1.9701582650298188
34,0.03,0.59,L2,1e-06,1.5280033730176577,0.003744280511296974,1.8999092884127424
35,0.03,0.59,L2,1e-05,1.540502102146444,0.004349215550288791,1.9418606263908478
36,0.03,0.61,L2,1e-07,1.5400378720654748,0.003922218910733961,1.9237611670524581
37,0.03,0.61,L2,1e-08,1.5281500026405344,0.0038628382743059234,1.908134994665297
38,0.03,0.61,L2,1e-06,1.5295470333913617,0.003663007045014837,1.9093635969314968
39,0.03,0.61,L2,1e-05,1.5516265534408855,0.004495164822367907,1.973961774751521
40,0.03,0.63,L2,1e-07,1.5409026316971133,0.0037843917578356755,1.9410700299288621
41,0.03,0.63,L2,1e-08,1.542052773531717,0.004299024451402907,1.9639766499466986
42,0.03,0.63,L2,1e-06,1.515575963376948,0.0038532574834587627,1.8856417937662329
43,0.03,0.63,L2,1e-05,1.5344337775552865,0.004383515536585155,1.9594576125455652
44,0.03,0.65,L2,1e-07,1.5349900873266344,0.0038759607260445508,1.9109327954012123
45,0.03,0.65,L2,1e-08,1.5333505977411945,0.0036131478897383196,1.9127597744090903
46,0.03,0.65,L2,1e-06,1.5116843584256496,0.003428688942175547,1.8696272747189502
47,0.03,0.65,L2,1e-05,1.529419735219329,0.00415326462199421,1.923523240098035
48,0.05,0.55,L2,1e-07,1.5192787140106176,0.0034611518844866267,1.8622022569194385
49,0.05,0.55,L2,1e-08,1.535500537360372,0.0036442677952505166,1.9065090761743033
50,0.05,0.55,L2,1e-06,1.5326209339394792,0.003778029303529846,1.9273956956614215
51,0.05,0.55,L2,1e-05,1.5379600945133154,0.0042836468700281054,1.94612373985964
52,0.05,0.57,L2,1e-07,1.5480219161117084,0.00423163877853443,1.9845330583838594
53,0.05,0.57,L2,1e-08,1.5365367670556085,0.004133521512434655,1.9175895751358
54,0.05,0.57,L2,1e-06,1.5351597582087255,0.004005646882836951,1.9077494320744304
55,0.05,0.57,L2,1e-05,1.5343985160671876,0.004110107699670715,1.9360675928980615
56,0.05,0.59,L2,1e-07,1.5415405577856056,0.003773199259608519,1.9173822606243427
57,0.05,0.59,L2,1e-08,1.5561401818224398,0.004134379019887704,1.966014674467243
58,0.05,0.59,L2,1e-06,1.5376876235223274,0.003942584280377606,1.9318578058596312
59,0.05,0.59,L2,1e-05,1.5307545430595422,0.004105957100818464,1.9177162495563638
