,eta,nesterov,reg_type,reg_val,accuracy,loss,val_loss,tr_accuracy
0,0.01,0.8,L2,1e-07,7.247852425558901,0.0649363223826463,29.737420701761845,7.337757728553311
1,0.01,0.8,L1,1e-07,7.2578978759078225,0.06512889866046014,29.818566162394614,7.336530076708461
