,eta,nesterov,reg_type,reg_val,accuracy,loss,val_loss
0,0.01,0.55,L2,1e-07,1.542577876704265,0.004349977351911488,1.9792022831433365
1,0.01,0.55,L2,1e-08,1.5318278313630076,0.004251017602704095,1.9377485507390741
2,0.01,0.55,L2,1e-06,1.51828634322941,0.004146477704322894,1.9120337254192121
3,0.01,0.55,L2,1e-05,1.6199631789634141,0.004881297764099203,2.0438326966084923
4,0.01,0.57,L2,1e-07,1.5309136986750789,0.004254912064174359,1.9517056079585018
5,0.01,0.57,L2,1e-08,1.541817962541332,0.004339980819130177,1.971696357503496
6,0.01,0.57,L2,1e-06,1.5432294199121008,0.004316614743118369,1.9775008280489217
7,0.01,0.57,L2,1e-05,1.626532582797843,0.004886547919062608,2.053925566736439
8,0.01,0.59,L2,1e-07,1.53909344952069,0.004174019366315018,1.9669311231819637
9,0.01,0.59,L2,1e-08,1.5418893895476928,0.004401397039433215,1.9665490985902567
10,0.01,0.59,L2,1e-06,1.5348310776160432,0.004282103982098193,1.9454200669629937
11,0.01,0.59,L2,1e-05,1.6124977770934403,0.004874377248651406,2.036615654550117
12,0.01,0.61,L2,1e-07,1.5440663967091288,0.004341901736786616,1.9770310341929012
13,0.01,0.61,L2,1e-08,1.522442082756861,0.004201448202160544,1.9443456763420324
14,0.01,0.61,L2,1e-06,1.5397741033751469,0.004208117267166419,1.9509538411984249
15,0.01,0.61,L2,1e-05,1.613780413529575,0.0048692214308837115,2.040383328432414
16,0.01,0.63,L2,1e-07,1.5487096123599962,0.004384846526282217,1.9882610951325888
17,0.01,0.63,L2,1e-08,1.5267277961428904,0.004210759889417094,1.9477426954480963
18,0.01,0.63,L2,1e-06,1.5391807866266944,0.0042861259524441,1.9674428247378764
19,0.01,0.63,L2,1e-05,1.612988648539166,0.004856072272999035,2.0349885638655034
20,0.01,0.65,L2,1e-07,1.5400013873892242,0.004221399477202605,1.9754760955801949
21,0.01,0.65,L2,1e-08,1.557170964352336,0.0043564954304978155,1.971897528638303
22,0.01,0.65,L2,1e-06,1.5244824204542773,0.004150833499243906,1.932701688956876
23,0.01,0.65,L2,1e-05,1.6041979544631688,0.004799181171514916,2.0264628505854723
24,0.03,0.55,L2,1e-07,1.5347326460477564,0.0038235347638364407,1.9193024460821333
25,0.03,0.55,L2,1e-08,1.525590953938865,0.0038579857095241018,1.9115879241455669
26,0.03,0.55,L2,1e-06,1.5068624009200668,0.0038717581638996294,1.885117324478835
27,0.03,0.55,L2,1e-05,1.5553537335376089,0.004486107123084022,1.9861125556265489
28,0.03,0.57,L2,1e-07,1.5562352890492146,0.004112453511537033,1.9559885768245964
29,0.03,0.57,L2,1e-08,1.5303554269874156,0.004024868900455258,1.9547937758784535
30,0.03,0.57,L2,1e-06,1.5088134206246153,0.0037378246754040654,1.8892691259660512
31,0.03,0.57,L2,1e-05,1.5388340217536438,0.004430538424767683,1.9670094718192004
32,0.03,0.59,L2,1e-07,1.5308576558547573,0.004078524786654168,1.906545310909059
33,0.03,0.59,L2,1e-08,1.5349600908047796,0.0037794564883375653,1.914895294323191
34,0.03,0.59,L2,1e-06,1.54717707349793,0.00420143118207139,1.9454203785102464
35,0.03,0.59,L2,1e-05,1.5525659351288243,0.004504741513187762,1.9816753828186708
36,0.03,0.61,L2,1e-07,1.5532410301374722,0.004356685184408532,2.0004585354405813
37,0.03,0.61,L2,1e-08,1.551686264626963,0.00404778568522944,1.9947609492649268
38,0.03,0.61,L2,1e-06,1.5327124286471399,0.003881100431984624,1.9171691813436151
39,0.03,0.61,L2,1e-05,1.5416535107184803,0.004418493772177558,1.9657573351143778
40,0.03,0.63,L2,1e-07,1.5182936933611986,0.0038608851870009994,1.884180078424513
41,0.03,0.63,L2,1e-08,1.5279822174109272,0.003929643195732767,1.897465616998839
42,0.03,0.63,L2,1e-06,1.5178834673066264,0.003914741729347284,1.8923706908785125
43,0.03,0.63,L2,1e-05,1.5752728917365708,0.004535587416155523,2.0263054712435804
44,0.03,0.65,L2,1e-07,1.5326906293256188,0.0038642804922749824,1.9639605046998259
45,0.03,0.65,L2,1e-08,1.5433648693244553,0.003951599676066995,1.9391001017695808
46,0.03,0.65,L2,1e-06,1.5505610882314553,0.004281031498987595,2.000237666286532
47,0.03,0.65,L2,1e-05,1.551937673699249,0.004400213707691401,1.960592367928795
48,0.05,0.55,L2,1e-07,1.5535299228177817,0.004270055193369734,1.9724273395045675
49,0.05,0.55,L2,1e-08,1.5259655107592198,0.003722274169033415,1.8683113772437603
50,0.05,0.55,L2,1e-06,1.578580713515458,0.004570782208630786,2.0406916404146287
51,0.05,0.55,L2,1e-05,1.5428715229398227,0.004423112736565207,1.980949652176906
52,0.05,0.57,L2,1e-07,1.5666877068919958,0.004486521803008718,2.0404733441048597
53,0.05,0.57,L2,1e-08,1.5492018608754776,0.004057800462080444,1.9781809878175263
