,eta,nesterov,reg_type,reg_val,accuracy,loss,val_loss
54,0.05,0.57,L2,1e-06,1.554836047182287,0.004103203012208398,1.9320151326171706
55,0.05,0.57,L2,1e-05,1.553609955862867,0.004300838203489885,1.9592377039090076
56,0.05,0.59,L2,1e-07,1.5361923254612713,0.003928347644193361,1.9589263251657076
57,0.05,0.59,L2,1e-08,1.5291122436323377,0.003814360336226362,1.9184374499839898
58,0.05,0.59,L2,1e-06,1.5335764449448543,0.004308160374289993,1.9727809071646931
59,0.05,0.59,L2,1e-05,1.546519511920571,0.0042861932549523064,1.9504484706132104
60,0.05,0.61,L2,1e-07,1.5441053164503298,0.00410004566565195,1.9464402955573183
61,0.05,0.61,L2,1e-08,1.5495328566767437,0.004205344760189356,1.9561567254106553
62,0.05,0.61,L2,1e-06,1.5343171716305022,0.0036698579581922234,1.884200280206352
63,0.05,0.61,L2,1e-05,1.5493441567112418,0.004332556995088725,1.978969089351908
64,0.05,0.63,L2,1e-07,1.5604916785676688,0.004111629028318937,1.9927485123922049
65,0.05,0.63,L2,1e-08,1.5641004559617422,0.004046611662144045,1.9913527571741272
66,0.05,0.63,L2,1e-06,1.5562690074034629,0.004080156178526526,1.9962004259287642
67,0.05,0.63,L2,1e-05,1.5431873401313798,0.004350186230785712,1.9713551028016087
68,0.05,0.65,L2,1e-07,1.5641330030573322,0.004059814019979205,1.9874500218133546
69,0.05,0.65,L2,1e-08,1.5620229700080737,0.004039520351500372,1.9721923989983343
70,0.05,0.65,L2,1e-06,1.5330611212857093,0.0038308980830190596,1.9222436286077997
71,0.05,0.65,L2,1e-05,1.554038082804998,0.004468674267463978,1.955743930120308
72,0.07,0.55,L2,1e-07,1.5398879393188014,0.004065863223505186,1.9460983018350764
73,0.07,0.55,L2,1e-08,1.559340343906446,0.004176808812671107,2.0045694271643932
74,0.07,0.55,L2,1e-06,1.5422442658082247,0.004064291560150742,1.9769977329173134
75,0.07,0.55,L2,1e-05,1.5442934714056575,0.00423303769109867,1.9433517492077093
76,0.07,0.57,L2,1e-07,1.5414906215927668,0.004107827450228678,1.9267923202946455
77,0.07,0.57,L2,1e-08,1.5681049275869405,0.004176633229961988,1.9837487321065843
78,0.07,0.57,L2,1e-06,1.5379629333702975,0.004068660977809225,1.9557162425560828
79,0.07,0.57,L2,1e-05,1.528915348601051,0.004094258080274515,1.9085953042805521
80,0.07,0.59,L2,1e-07,1.5701067173148484,0.004269224485702175,1.9813649895262255
81,0.07,0.59,L2,1e-08,1.542667276735344,0.004297963938437239,1.9976813038176686
82,0.07,0.59,L2,1e-06,1.5448115441901218,0.00389550522495803,1.9231059305058213
83,0.07,0.59,L2,1e-05,1.552024080680958,0.004438391525270386,1.9848962627114382
84,0.07,0.61,L2,1e-07,1.5411217550129328,0.003798708112468269,1.9378850899834685
85,0.07,0.61,L2,1e-08,1.5252916872134925,0.0036826508967326144,1.9186442884425103
86,0.07,0.61,L2,1e-06,1.561388009330028,0.0038932799515562513,1.9625084701153834
87,0.07,0.61,L2,1e-05,1.5569148133942854,0.004468696501828968,1.9561985173482013
88,0.07,0.63,L2,1e-07,1.582174350490442,0.004349283928436928,2.036063776837145
89,0.07,0.63,L2,1e-08,1.5624717617118258,0.004063472609903175,1.983104808981854
90,0.07,0.63,L2,1e-06,1.568977257870145,0.004211425295341575,1.967171444740572
91,0.07,0.63,L2,1e-05,1.5474958334231872,0.00422725820800141,1.9815945554066061
92,0.07,0.65,L2,1e-07,1.5782351930932952,0.004468974549714949,2.046742816479498
93,0.07,0.65,L2,1e-08,1.5442019960191116,0.0038227129592638257,1.9083591121567285
94,0.07,0.65,L2,1e-06,1.5462321479683545,0.0038945175501539017,1.9296770235734204
95,0.07,0.65,L2,1e-05,1.5470462081615348,0.004293214127864912,1.9686968409330723
96,0.09,0.55,L2,1e-07,1.5432633966189597,0.004039309626325305,1.9288123082434667
97,0.09,0.55,L2,1e-08,1.5890273261970913,0.004254991919217303,2.029796709588849
98,0.09,0.55,L2,1e-06,1.5697603764664356,0.004258603819426376,2.0234679546986682
99,0.09,0.55,L2,1e-05,1.568713562257635,0.0044301071203034,1.9932039641775008
100,0.09,0.57,L2,1e-07,1.582056450275828,0.004399716819873642,2.0395060104410536
101,0.09,0.57,L2,1e-08,1.559233206614845,0.004028898269053422,1.9528602231316217
102,0.09,0.57,L2,1e-06,1.573824476480749,0.004612094918305409,2.0535044360840904
103,0.09,0.57,L2,1e-05,1.5426083016145373,0.0039364596101580185,1.9405750706484681
104,0.09,0.59,L2,1e-07,1.5745957386000777,0.004408125585224845,2.0277452059973093
105,0.09,0.59,L2,1e-08,1.5707289809883431,0.003907279959147168,1.9993245855042436
106,0.09,0.59,L2,1e-06,1.5652433198009206,0.004246607697287879,1.9950030520131
107,0.09,0.59,L2,1e-05,1.5652765544867322,0.0044101842297938265,1.9884954351673525
108,0.09,0.61,L2,1e-07,1.5614587973522507,0.0037654630645674258,1.9792619991471898
109,0.09,0.61,L2,1e-08,1.537818354504947,0.0038582662096754146,1.895422477862664
110,0.09,0.61,L2,1e-06,1.5812809971563577,0.0045010735471240305,2.053964155290029
111,0.09,0.61,L2,1e-05,1.553447195685015,0.004187698587396946,1.9644086336108293
112,0.09,0.63,L2,1e-07,1.5794582498625935,0.004295740784060324,1.9962229435253958
113,0.09,0.63,L2,1e-08,1.5598055519985843,0.0040371759860281,2.0016355786430924
114,0.09,0.63,L2,1e-06,1.5506977133161157,0.003940383217612841,1.9500910091290808
115,0.09,0.63,L2,1e-05,1.5320835739673548,0.0042850453825260025,1.9137553619360836
116,0.09,0.65,L2,1e-07,1.5566987010412217,0.004181506757104564,1.9549730954110789
117,0.09,0.65,L2,1e-08,1.5806929743066418,0.004426055330641714,2.0381573869482077
118,0.09,0.65,L2,1e-06,1.5670378739031416,0.004222554393732723,1.970661114726007
119,0.09,0.65,L2,1e-05,1.5524265490119618,0.004130602818100247,1.9823738629468135
