,eta,nesterov,reg_type,reg_val,accuracy,loss,val_loss
85,0.07,0.61,L2,1e-08,1.5295373715448237,0.0037020106756195637,1.9215161107843075
86,0.07,0.61,L2,1e-06,1.560834565463357,0.00384070875094129,1.9898589155748443
87,0.07,0.61,L2,1e-05,1.5351841568616427,0.004051854443538414,1.9227946521876358
88,0.07,0.63,L2,1e-07,1.5555409260964776,0.0038640594984683473,1.9596736066935765
89,0.07,0.63,L2,1e-08,1.544297210380429,0.004070293860416547,1.933598667983454
90,0.07,0.63,L2,1e-06,1.5227743713856048,0.003647669294031304,1.8890111320571927
91,0.07,0.63,L2,1e-05,1.5236714506543727,0.003904607667278704,1.8959376886374661
92,0.07,0.65,L2,1e-07,1.559791011451046,0.003983415414804739,1.9946136049782373
93,0.07,0.65,L2,1e-08,1.5624923031094455,0.004157010748765166,2.01127503999453
94,0.07,0.65,L2,1e-06,1.5465849045726923,0.0036704140104115595,1.923217043366545
95,0.07,0.65,L2,1e-05,1.5237450084090014,0.00378687783415995,1.87115182240898
96,0.09,0.55,L2,1e-07,1.559710691375157,0.004081308515015507,1.9549603821336532
97,0.09,0.55,L2,1e-08,1.5774267983693397,0.004160855375946199,2.000107675595263
98,0.09,0.55,L2,1e-06,1.5514403589721522,0.003690514298639069,1.933881342624235
99,0.09,0.55,L2,1e-05,1.5471645146798751,0.003932856930609618,1.9454030626886896
100,0.09,0.57,L2,1e-07,1.5468282654387933,0.0037313192982117304,1.9493704453863387
101,0.09,0.57,L2,1e-08,1.5819559382520156,0.004066442052241821,1.98161275023694
102,0.09,0.57,L2,1e-06,1.5357125334294972,0.003999635225796792,1.9114331259212234
103,0.09,0.57,L2,1e-05,1.5316204502441548,0.0039038357812822898,1.9078070961739606
104,0.09,0.59,L2,1e-07,1.5421190973617607,0.003558514801099964,1.902633382611307
105,0.09,0.59,L2,1e-08,1.535187774263936,0.0038810268844472746,1.9247643636009546
106,0.09,0.59,L2,1e-06,1.541237431698714,0.003941852657018274,1.9763817909944807
107,0.09,0.59,L2,1e-05,1.5636522141737934,0.0044730366982816475,1.963511857029757
108,0.09,0.61,L2,1e-07,1.5623160184883076,0.004100303238691647,2.0050452656359807
109,0.09,0.61,L2,1e-08,1.5597865486157554,0.003851960501234885,1.9814728920283888
110,0.09,0.61,L2,1e-06,1.5512940142638956,0.0038938051466062156,1.9908220507759822
111,0.09,0.61,L2,1e-05,1.5516135028287887,0.0040504795346992615,1.9550758488657287
112,0.09,0.63,L2,1e-07,1.5581994038129272,0.003829899590982705,1.9604353721643906
113,0.09,0.63,L2,1e-08,1.5754187162211668,0.004115889978567803,2.013353685245022
114,0.09,0.63,L2,1e-06,1.5676691741652713,0.004214063019007214,1.956363690363701
115,0.09,0.63,L2,1e-05,1.555381284597661,0.004177912226378336,1.9534173989784582
116,0.09,0.65,L2,1e-07,1.5576424846076702,0.003889950222375015,1.959743569519663
117,0.09,0.65,L2,1e-08,1.5662170937506341,0.004148050201044627,2.019432570717568
118,0.09,0.65,L2,1e-06,1.5723245673447332,0.0042528606572605045,2.001601381893626
119,0.09,0.65,L2,1e-05,1.5439813879067514,0.0037220877304332107,1.916891081467037
