,eta,nesterov,reg_type,reg_val,accuracy,loss,val_loss
0,0.01,0.55,L2,1e-07,1.5331211496153274,0.0042386843127268726,1.9521684048039942
1,0.01,0.55,L2,1e-08,1.5451686746746642,0.004303244815635598,1.9724797804246232
2,0.01,0.55,L2,1e-06,1.524385896040392,0.0042570733424983865,1.9383485753325391
3,0.01,0.55,L2,1e-05,1.633043485309261,0.004911362309442016,2.0639054348293655
4,0.01,0.57,L2,1e-07,1.534039895344094,0.003871695860369844,1.9312167442407417
5,0.01,0.57,L2,1e-08,1.5347859852261647,0.003986598869735848,1.9365816175727026
6,0.01,0.57,L2,1e-06,1.529014017104867,0.004104917191547471,1.9296874841262752
7,0.01,0.57,L2,1e-05,1.6181287798348531,0.004837607677934292,2.0408197922439433
8,0.01,0.59,L2,1e-07,1.5149427204900678,0.0038688789501133383,1.879256800515078
9,0.01,0.59,L2,1e-08,1.5286385664398605,0.004236956401510126,1.9447363660087558
10,0.01,0.59,L2,1e-06,1.5156779911549332,0.0040388583468391965,1.9043949639939337
11,0.01,0.59,L2,1e-05,1.6170394702858617,0.004867006687647412,2.0391670552110597
12,0.01,0.61,L2,1e-07,1.547697370364137,0.004392330042954314,1.9731944807745407
13,0.01,0.61,L2,1e-08,1.5201427972503356,0.004059816662701649,1.926552257759093
14,0.01,0.61,L2,1e-06,1.52067362154852,0.003997566522384663,1.9159229127531459
15,0.01,0.61,L2,1e-05,1.6065896473857615,0.004823188710216282,2.024515633223892
16,0.01,0.63,L2,1e-07,1.5433290016558594,0.004154230657129509,1.9311658543758385
17,0.01,0.63,L2,1e-08,1.5453734565556931,0.0043465574517584935,1.9756269885283186
18,0.01,0.63,L2,1e-06,1.524138720420287,0.004200061699737394,1.9447656867857817
19,0.01,0.63,L2,1e-05,1.6053768291131938,0.004804975011428527,2.0285969048777126
20,0.01,0.65,L2,1e-07,1.5454471764625721,0.004306211388310029,1.9711864521691194
21,0.01,0.65,L2,1e-08,1.5358980218110923,0.004053990803551026,1.9629651016406384
22,0.01,0.65,L2,1e-06,1.5387232534250066,0.004297291530624684,1.953310707881194
23,0.01,0.65,L2,1e-05,1.6072340056832835,0.004827726487233292,2.0290112921204755
24,0.03,0.55,L2,1e-07,1.5060513782461646,0.00370068394561757,1.8534344290767113
25,0.03,0.55,L2,1e-08,1.5475294966059436,0.004402946225924784,2.0009950130406415
26,0.03,0.55,L2,1e-06,1.5563617566289654,0.004440961541951345,2.0092503858530164
27,0.03,0.55,L2,1e-05,1.5534145790314058,0.00449443732205176,1.982042109251779
28,0.03,0.57,L2,1e-07,1.5195343161139607,0.003921255539396947,1.9334250318860748
29,0.03,0.57,L2,1e-08,1.5547934006146997,0.0041707780133746096,2.0056133928835513
30,0.03,0.57,L2,1e-06,1.5070026043691984,0.0036725293193214073,1.8466062538982033
31,0.03,0.57,L2,1e-05,1.544898010025127,0.004451038945373979,1.9623940135513678
32,0.03,0.59,L2,1e-07,1.5245948948146018,0.003783294863519495,1.9324667940334532
33,0.03,0.59,L2,1e-08,1.5335887628343527,0.004090031015208109,1.969021936118587
34,0.03,0.59,L2,1e-06,1.5437280533954654,0.004108769886790292,1.9381455923438224
35,0.03,0.59,L2,1e-05,1.5470974436612082,0.004393531319639727,1.970432041310423
36,0.03,0.61,L2,1e-07,1.5293414892229613,0.004080711457779087,1.9147785612310833
37,0.03,0.61,L2,1e-08,1.5338070414895804,0.004024984779103822,1.9292465510332655
38,0.03,0.61,L2,1e-06,1.5151198825603032,0.003788432117717831,1.8881131430127593
39,0.03,0.61,L2,1e-05,1.5445494384389544,0.004432095227366197,1.9633105160464481
40,0.03,0.63,L2,1e-07,1.562476105904419,0.0045243244246940895,2.0189505024700143
41,0.03,0.63,L2,1e-08,1.5496047813925473,0.003861663077420193,1.9428835485351736
42,0.03,0.63,L2,1e-06,1.5111923872628488,0.003825830684609404,1.876837600837104
43,0.03,0.63,L2,1e-05,1.559316180626003,0.004569634844989081,1.9903087784996911
44,0.03,0.65,L2,1e-07,1.5508269465627562,0.004437950964191626,2.0052914682823713
45,0.03,0.65,L2,1e-08,1.573452464236035,0.004369751995125662,2.0197382590159614
46,0.03,0.65,L2,1e-06,1.5186597419407961,0.0038029359794046146,1.9171787353500107
47,0.03,0.65,L2,1e-05,1.5537776109835306,0.004479792230135328,1.9921768498993246
48,0.05,0.55,L2,1e-07,1.5501884379464865,0.0036244986957432953,1.9409151119071304
49,0.05,0.55,L2,1e-08,1.527956231783745,0.0038660003129936016,1.9487701885442617
50,0.05,0.55,L2,1e-06,1.5281751405860444,0.003543054634130511,1.9052571701379568
51,0.05,0.55,L2,1e-05,1.5572580508545162,0.004504745048441565,1.9955860870155722
52,0.05,0.57,L2,1e-07,1.5368005312144002,0.003510912697322385,1.9283709576282069
53,0.05,0.57,L2,1e-08,1.5492891725984193,0.004221700256352549,1.9553767227716052
54,0.05,0.57,L2,1e-06,1.552068213037133,0.004169555722000016,1.9447243973674546
55,0.05,0.57,L2,1e-05,1.5414683904487052,0.004339971902449537,1.9602856055750533
56,0.05,0.59,L2,1e-07,1.5341534074624938,0.0037711269038863287,1.9039429780522974
57,0.05,0.59,L2,1e-08,1.5388044210941942,0.003558326933952346,1.9419291337373392
58,0.05,0.59,L2,1e-06,1.558248500183483,0.004174251001321198,1.9466105922858057
59,0.05,0.59,L2,1e-05,1.5292023516487792,0.004253723530584794,1.9355426517751402
60,0.05,0.61,L2,1e-07,1.5400850915799331,0.004037972514502559,1.9308337062496481
61,0.05,0.61,L2,1e-08,1.5314241470602183,0.004044395311424608,1.9398754712209272
62,0.05,0.61,L2,1e-06,1.5229206335578802,0.003520246991874122,1.8696241957427275
63,0.05,0.61,L2,1e-05,1.5405447497037066,0.004226294143124437,1.9629245652900067
64,0.05,0.63,L2,1e-07,1.5390793316370226,0.003467376060575496,1.920855312805062
65,0.05,0.63,L2,1e-08,1.5450887886190499,0.004168116228973903,1.9331397851712524
66,0.05,0.63,L2,1e-06,1.5591200870708617,0.0038511062517451126,1.9581224472609344
67,0.05,0.63,L2,1e-05,1.5399079243450113,0.004007618792978051,1.929312538047961
68,0.05,0.65,L2,1e-07,1.5525057926744743,0.0040356173639908245,1.9528933940795827
69,0.05,0.65,L2,1e-08,1.5335245423014283,0.0035972287374687836,1.89010629773752
70,0.05,0.65,L2,1e-06,1.544646504484639,0.003926445741694036,1.9367585719853126
71,0.05,0.65,L2,1e-05,1.5313569641668285,0.004234854393397135,1.932876158262987
72,0.07,0.55,L2,1e-07,1.5364416469199302,0.0037574024514321785,1.9048291543757774
73,0.07,0.55,L2,1e-08,1.5406541668206148,0.0036253559469884475,1.902515077846349
74,0.07,0.55,L2,1e-06,1.5173904435102716,0.0037153606504361455,1.8691743599344033
75,0.07,0.55,L2,1e-05,1.550181336591483,0.004337932049141677,1.962058025000968
76,0.07,0.57,L2,1e-07,1.5441958430141733,0.0035165684246258704,1.9157028319851452
77,0.07,0.57,L2,1e-08,1.5346457040553378,0.0037623292488376064,1.92770420195967
78,0.07,0.57,L2,1e-06,1.555298841140542,0.0043784276664522075,2.005182930204028
79,0.07,0.57,L2,1e-05,1.5371235062644912,0.004166232879315459,1.9238921840602485
80,0.07,0.59,L2,1e-07,1.5545749797709807,0.004146580814276049,2.007456850970563
81,0.07,0.59,L2,1e-08,1.5650154693490579,0.003981662183933198,1.9759015430835571
82,0.07,0.59,L2,1e-06,1.54130395988091,0.0037671810181315376,1.934985613511752
83,0.07,0.59,L2,1e-05,1.5363256286831561,0.004147126573300884,1.9299522240992746
84,0.07,0.61,L2,1e-07,1.5382015689947588,0.0038890004186499217,1.926642492630182
