eta,nesterov,reg_type,reg_val,accuracy,loss,val_loss
0.01,0.8,L2,1e-07,1.5565523083721688,0.004295116762069258,1.9861038296717721
0.01,0.8,L2,1e-08,1.5417803998958286,0.004118776622200124,1.9604836675627737
0.01,0.8,L2,1e-06,1.5387684951492788,0.004315230515402335,1.9700384156850932
0.01,0.8,L2,1e-05,1.5523076840749983,0.004524792849001073,1.9679282615397007
0.01,0.8,L1,1e-07,1.529009783791764,0.0036648546881146112,1.907380052494494
0.01,0.8,L1,1e-08,1.5233644987436576,0.0038002149950557783,1.8843251323184889
0.01,0.8,L1,1e-06,1.5586232671083984,0.004387150452992106,1.987211176472222
0.01,0.8,L1,1e-05,1.722171549888511,0.005321753528678883,2.246512473354985
0.01,0.9,L2,1e-07,1.5597164725324746,0.003520287286422978,1.959075118984295
0.01,0.9,L2,1e-08,1.5320076463783174,0.0033449048653912497,1.8950034438226953
0.01,0.9,L2,1e-06,1.5647841810953504,0.003956395152917965,1.985230920464469
0.01,0.9,L2,1e-05,1.542465306957265,0.004323605726968632,1.964442707974986
0.01,0.9,L1,1e-07,1.5687189781525381,0.004109395456184724,1.9509035710718228
0.01,0.9,L1,1e-08,1.5613708031723814,0.003689762641280172,1.929144728020332
0.01,0.9,L1,1e-06,1.5497522036225877,0.004080707961517088,1.9679252063820216
0.01,0.9,L1,1e-05,1.6302328568112958,0.0047472021455273366,2.087485837605894
0.01,0.7,L2,1e-07,1.5331350661340704,0.003683482794397281,1.915926615621287
0.01,0.7,L2,1e-08,1.5585610863594928,0.004246950247077815,1.9977707762973882
0.01,0.7,L2,1e-06,1.5486413315784728,0.004183383912824738,1.9577371828517052
0.01,0.7,L2,1e-05,1.5829758428890852,0.004693124785846475,1.996662331294873
0.01,0.7,L1,1e-07,1.547258494397931,0.004067518579693243,1.9538094949645484
0.01,0.7,L1,1e-08,1.5200689634738787,0.003872366532928089,1.8987809011104837
0.01,0.7,L1,1e-06,1.555414170819448,0.00453736299503181,1.9764696356469154
0.01,0.7,L1,1e-05,7.23993698443089,0.06524704330495774,29.894674935613143
0.01,0.5,L2,1e-07,1.5318322668477136,0.0040695534467299205,1.9562148833681192
0.01,0.5,L2,1e-08,1.5269899144463739,0.0037865216461507242,1.8933659944343015
0.01,0.5,L2,1e-06,1.5304777980376354,0.004223128604845551,1.9398087674912048
0.01,0.5,L2,1e-05,1.6434748553091492,0.004975832197528558,2.0809959254890544
0.01,0.5,L1,1e-07,1.5362619299298206,0.0041211754814926,1.9573388673304628
0.01,0.5,L1,1e-08,1.5420925828179948,0.004331080243033871,1.9596884854322731
0.01,0.5,L1,1e-06,1.587711399844239,0.004687977090228126,2.021744715311983
0.01,0.5,L1,1e-05,7.2397417017445305,0.06524773970151991,29.89596540672852
0.01,0.6,L2,1e-07,1.5238549023205248,0.003699330191518377,1.917246653171051
0.01,0.6,L2,1e-08,1.528578537023036,0.004241727274687679,1.9597033898438083
0.01,0.6,L2,1e-06,1.5395842655669618,0.004134168722506649,1.9311096255178768
0.01,0.6,L2,1e-05,1.6099426426453622,0.004825822847245059,2.0305555324270577
0.01,0.6,L1,1e-07,1.5169774343250992,0.003935784995312004,1.907786603018937
0.01,0.6,L1,1e-08,1.5397141258644853,0.004342098913354329,1.9703450530782216
0.01,0.6,L1,1e-06,1.5669645755559392,0.0045067451607798525,2.008465945740437
0.01,0.6,L1,1e-05,7.237898711195494,0.06524547591383588,29.89573946951082
0.001,0.8,L2,1e-07,1.5488537799699411,0.004373501690882746,1.9607939953024383
0.001,0.8,L2,1e-08,1.5479375726429627,0.00439520160084221,1.964726835713187
0.001,0.8,L2,1e-06,1.5728448301467972,0.0045619631491782215,1.9754800150308596
0.001,0.8,L2,1e-05,1.901744649120113,0.006411049516331337,2.617322761502708
0.001,0.8,L1,1e-07,1.557466895475927,0.004466011326324834,1.9795115686224003
0.001,0.8,L1,1e-08,1.548630833307344,0.004305670630441155,1.966186183689154
0.001,0.8,L1,1e-06,3.51043656815382,0.02537885841337917,11.102959423775014
0.001,0.8,L1,1e-05,7.240609359149929,0.06524586891067023,29.895975537732266
0.001,0.9,L2,1e-07,1.5672178937713463,0.004275817355680199,1.9716789395839909
0.001,0.9,L2,1e-08,1.561574658452166,0.00428872361957212,1.9697501216105293
0.001,0.9,L2,1e-06,1.5568687521028093,0.0043696897139324205,1.9480849420588173
0.001,0.9,L2,1e-05,1.7322064825808707,0.005404886602563417,2.2415265595274323
0.001,0.9,L1,1e-07,1.5571502363647436,0.004326093715742653,1.9575622282632017
0.001,0.9,L1,1e-08,1.5608738634587176,0.00425613877371691,1.9658875137133756
0.001,0.9,L1,1e-06,1.6194121487111677,0.004750435717045112,2.041394255535914
0.001,0.9,L1,1e-05,7.2405771484510915,0.065245814195176,29.895929956803162
0.001,0.7,L2,1e-07,1.567048400045415,0.004515909996731154,1.982225122656761
0.001,0.7,L2,1e-08,1.5570619488584285,0.004473874942237956,1.9701091573608907
0.001,0.7,L2,1e-06,1.5969288577677558,0.004733089419690636,2.0085245898288826
0.001,0.7,L2,1e-05,2.0348577951846516,0.007281851460844788,2.953494678466093
0.001,0.7,L1,1e-07,1.5905536345170663,0.004634985395207286,2.0279848007741808
0.001,0.7,L1,1e-08,1.556565504339775,0.004455881926015392,1.9736707786763243
0.001,0.7,L1,1e-06,7.243286138049155,0.0652484761637197,29.894283856704693
0.001,0.7,L1,1e-05,7.240278108891233,0.06524540535384572,29.8958521959597
0.001,0.5,L2,1e-07,1.589648763743383,0.004620764937506113,2.0160485572935323
0.001,0.5,L2,1e-08,1.5801219769877324,0.004602743245877973,2.0040552577009696
0.001,0.5,L2,1e-06,1.685056410827615,0.0051285892366832965,2.1569901898654673
0.001,0.5,L2,1e-05,5.6189647784897945,0.04634545559442735,21.449958676955166
0.001,0.5,L1,1e-07,1.6191260182979732,0.004792280571117709,2.0601337379734797
0.001,0.5,L1,1e-08,1.5910996758965534,0.00467258832882221,2.0202978514760437
0.001,0.5,L1,1e-06,7.240214848106215,0.06524534579773357,29.895636916774137
0.001,0.5,L1,1e-05,7.240003398801256,0.06524507511794787,29.895835095347593
0.001,0.6,L2,1e-07,1.5698568823242895,0.004570594588722756,1.9847251922236682
0.001,0.6,L2,1e-08,1.5778497742478275,0.0045706607797396295,2.0090005724758666
0.001,0.6,L2,1e-06,1.616208435478157,0.0048204931408142105,2.037450135354058
0.001,0.6,L2,1e-05,2.219559881131194,0.008479603771413992,3.412892071876518
0.001,0.6,L1,1e-07,1.5841894584017948,0.004650382855731842,2.0189984773171976
0.001,0.6,L1,1e-08,1.5655230850292652,0.004558843991008976,1.9846579412730998
0.001,0.6,L1,1e-06,7.240586439203713,0.06524577126644958,29.896241036956127
0.001,0.6,L1,1e-05,7.240311859749205,0.06524544892091222,29.89594007052415
0.1,0.8,L2,1e-07,1.5644734459123317,0.003854160482989957,1.9700553986427793
0.1,0.8,L2,1e-08,1.5807229124880704,0.003951216953246728,1.9983507524034516
0.1,0.8,L2,1e-06,1.578907278108361,0.0037301932468147333,2.0005489063765105
0.1,0.8,L2,1e-05,1.5603395281275707,0.003930177747395951,1.9370277091405024
0.1,0.8,L1,1e-07,1.6062582511037868,0.00394015015005605,2.025506486435219
0.1,0.8,L1,1e-08,1.6038797606640969,0.0040309113658179045,2.0717877952968133
0.1,0.8,L1,1e-06,1.5972630717275464,0.004251741578062666,2.0482693130116423
0.1,0.8,L1,1e-05,1.6287626299819842,0.004800718689526628,2.123300914816238
0.1,0.9,L2,1e-07,1.6430956822734968,0.00420365889810466,2.0674730392860274
0.1,0.9,L2,1e-08,1.6462230018666801,0.004081997216304613,2.1088218284018794
0.1,0.9,L2,1e-06,1.6456316154477408,0.0037328075464498844,2.1346583459951005
0.1,0.9,L2,1e-05,1.604906472328248,0.004051686354203041,2.013982480282622
0.1,0.9,L1,1e-07,1.695386285668449,0.00448221567662201,2.2023626395814304
0.1,0.9,L1,1e-08,1.7005733835121164,0.004283592251803637,2.172440817982704
0.1,0.9,L1,1e-06,1.6570092311356157,0.003970709549063811,2.1001117638823934
