,eta,nesterov,reg_type,reg_val,tr_mee,val_mee,loss,val_loss
0,0.008,0.5,L1,1e-07,1.3992290990588694,1.5321151841101681,1.5992987576861377,1.952389686640732
1,0.008,0.5,L1,1.584893192461114e-07,1.427100801019338,1.5395076014573323,1.6752714162269573,1.9748304914089394
2,0.008,0.5,L1,2.5118864315095823e-07,1.4279806212769568,1.534120374184577,1.6656069590987805,1.945974643626866
3,0.008,0.5,L1,3.981071705534969e-07,1.4663683068203772,1.5625566176783277,1.735596727004786,1.9980467069893806
4,0.008,0.5,L1,6.30957344480193e-07,1.5101328073729114,1.5797793093897916,1.815703396178515,2.016983278870605
5,0.008,0.5,L1,1e-06,1.522450489326966,1.5928987015467273,1.835230295496877,2.035667427765297
6,0.008,0.5,L2,1e-07,1.3951251032832335,1.54444861620499,1.5936876443654204,1.9485879463579001
7,0.008,0.5,L2,1.584893192461114e-07,1.4071419390929698,1.5381227046509858,1.6134348691661973,1.954342090978913
8,0.008,0.5,L2,2.5118864315095823e-07,1.4061836001665033,1.5417111283871627,1.6080287239564968,1.9641114282928553
9,0.008,0.5,L2,3.981071705534969e-07,1.4217726524672007,1.5397665346579898,1.6468684716813602,1.9594237425221064
10,0.008,0.5,L2,6.30957344480193e-07,1.4225645695233842,1.521427709178025,1.6654780097702302,1.9353651437711143
11,0.008,0.5,L2,1e-06,1.4439138695181946,1.535405146788517,1.691320539722388,1.9433499301422987
12,0.008,0.52,L1,1e-07,1.4212461799888123,1.5362223974342435,1.664876871076171,1.9600407605940342
13,0.008,0.52,L1,1.584893192461114e-07,1.437776811287151,1.5455182721548486,1.65691987545706,1.9570352716600732
14,0.008,0.52,L1,2.5118864315095823e-07,1.4412891479467718,1.5409618852559113,1.6933863959305964,1.9546316878994612
15,0.008,0.52,L1,3.981071705534969e-07,1.491609127411289,1.5793716480602897,1.7797822453935817,2.020345953206752
16,0.008,0.52,L1,6.30957344480193e-07,1.5037487686201236,1.5813911693396365,1.8012131845701769,2.0162617545800674
17,0.008,0.52,L1,1e-06,1.502439191698213,1.5827832772487824,1.806871066926976,2.017217220790981
18,0.008,0.52,L2,1e-07,1.3726508041099674,1.5330041489589774,1.544218931591175,1.9276073543517622
19,0.008,0.52,L2,1.584893192461114e-07,1.4200094727999968,1.5408202234505168,1.6423077934143204,1.9553074242242783
20,0.008,0.52,L2,2.5118864315095823e-07,1.39610423981798,1.5272257346735179,1.5950406577107337,1.9450901262078482
21,0.008,0.52,L2,3.981071705534969e-07,1.4037194016678267,1.5315958313314428,1.6140176274343812,1.9493611705337095
22,0.008,0.52,L2,6.30957344480193e-07,1.3993357702925238,1.5223256444857307,1.5981061585447847,1.9267765814749402
23,0.008,0.52,L2,1e-06,1.4207222119492133,1.5294655706285027,1.6495073309991077,1.9469516738748458
24,0.008,0.54,L1,1e-07,1.440234966773427,1.5333618368090594,1.6844850502172954,1.951821632328765
25,0.008,0.54,L1,1.584893192461114e-07,1.3982223098934297,1.5143464874005785,1.618375888695413,1.925330029402421
26,0.008,0.54,L1,2.5118864315095823e-07,1.4327157141628284,1.538552604366173,1.6729890052161303,1.9665594805656041
27,0.008,0.54,L1,3.981071705534969e-07,1.4676304932422213,1.555935157317079,1.7365997572188878,1.9788317051871926
28,0.008,0.54,L1,6.30957344480193e-07,1.476398902241365,1.567594959894393,1.7466184406398844,2.004396703588149
29,0.008,0.54,L1,1e-06,1.5166042150554597,1.5951728587925451,1.8267560892566144,2.040349713876985
30,0.008,0.54,L2,1e-07,1.4049983556978498,1.52623286670416,1.6185125750204217,1.9423704854834518
31,0.008,0.54,L2,1.584893192461114e-07,1.4170184962308154,1.5368096545555112,1.6355030033819273,1.9511301196584556
32,0.008,0.54,L2,2.5118864315095823e-07,1.363953021654918,1.5216853894849003,1.5240691534777924,1.9022702815002361
