,eta,nesterov,reg_type,reg_val,tr_mee,val_mee,loss,val_loss
0,0.01,0.8,L2,1e-07,1.4229568691164094,1.5544592629163994,1.6628175145513395,2.0074685011215574
1,0.01,0.8,L2,1e-08,1.375248270738785,1.5511903092697654,1.5542712867497093,1.9706140135167969
2,0.01,0.8,L2,1e-06,1.3921604835091292,1.546305244916075,1.5786846981042197,1.9401490241736414
3,0.01,0.8,L1,1e-07,1.401118302697779,1.5524136270932232,1.5859649982821147,1.9238137293852875
4,0.01,0.8,L1,1e-08,1.3491951552566954,1.5301764343431887,1.503708477203787,1.8889671507474926
5,0.01,0.8,L1,1e-06,1.4661200956775244,1.57142387140376,1.7478716406055324,2.0134938659782526
6,0.01,0.7,L2,1e-07,1.3918119555794946,1.5410284588299963,1.5836865182842164,1.9552546326473015
7,0.01,0.7,L2,1e-08,1.354885567831141,1.5346346042474526,1.501221673210155,1.9061947667185268
8,0.01,0.7,L2,1e-06,1.4237473534348062,1.5336270098411602,1.6745584947114835,1.9570976318551425
9,0.01,0.7,L1,1e-07,1.4326339534345989,1.557232025323955,1.6712963265087144,1.9895201648215572
10,0.01,0.7,L1,1e-08,1.3790132314041168,1.5445016466434804,1.5583750974071329,1.9649223555376023
11,0.01,0.7,L1,1e-06,1.5024827726133667,1.5797347041192742,1.8139245482050592,2.033613996286085
12,0.01,0.5,L2,1e-07,1.3645623587444504,1.5400344837070445,1.5293070266644602,1.9444788691107746
13,0.01,0.5,L2,1e-08,1.440034926613145,1.5606052065586733,1.6953442262861118,2.0074450080996766
14,0.01,0.5,L2,1e-06,1.4251828186765678,1.5305947036052119,1.6546434917135195,1.9394957972681584
15,0.01,0.5,L1,1e-07,1.4141268581641384,1.5270487734572997,1.6398669369957197,1.9566503596526743
16,0.01,0.5,L1,1e-08,1.438620136343013,1.5498829380752521,1.6753652162082577,1.9903180867481984
17,0.01,0.5,L1,1e-06,1.5110720639958342,1.5817187531496006,1.8032425053604497,2.006158564882602
18,0.01,0.6,L2,1e-07,1.4730925315845438,1.5668590359530155,1.7435735910992358,1.9995638196362269
19,0.01,0.6,L2,1e-08,1.461011331867006,1.5500270727505139,1.7310512179340893,1.980398955991145
20,0.01,0.6,L2,1e-06,1.374784608358418,1.507121889188342,1.5305887459938603,1.9020521901546543
21,0.01,0.6,L1,1e-07,1.4203385785537739,1.5371986471835726,1.6505696432890022,1.948986806783784
22,0.01,0.6,L1,1e-08,1.4071539915537485,1.542902154880039,1.6298803676823077,1.991972313452803
23,0.01,0.6,L1,1e-06,1.4905161491101007,1.568825191454702,1.788590153586951,2.00834994136982
24,0.001,0.8,L2,1e-07,1.4647879960802046,1.5481076681520471,1.7149124590442728,1.9521332126921258
25,0.001,0.8,L2,1e-08,1.4505507421168156,1.5517297541851967,1.7029400971692648,1.9790673085594497
26,0.001,0.8,L2,1e-06,1.4991268228613717,1.5655004484946407,1.7760940270122398,1.9726891094999652
27,0.001,0.8,L1,1e-07,1.4713046749452365,1.551727369064824,1.729615447036714,1.9636954373869486
28,0.001,0.8,L1,1e-08,1.4739230145895632,1.549587379544137,1.743706995974814,1.9679857569027492
29,0.001,0.8,L1,1e-06,1.6408848154534743,1.688732093981329,2.02264809422633,2.177891272833942
30,0.001,0.7,L2,1e-07,1.475176005363082,1.5596608123930862,1.7378057892091432,1.9777079202559191
31,0.001,0.7,L2,1e-08,1.4685165177213724,1.5518263440831912,1.7236488060702626,1.96949180968159
32,0.001,0.7,L2,1e-06,1.5393736825978424,1.5903880485878863,1.8415863023917451,2.0011433998515082
33,0.001,0.7,L1,1e-07,1.5074419298746768,1.5775230618105265,1.8012802506615573,2.0162935989212283
34,0.001,0.7,L1,1e-08,1.474634923875388,1.557079491292381,1.7405858557615013,1.9784569668246565
35,0.001,0.7,L1,1e-06,7.230136700706471,7.242476018241237,29.801263101474717,29.89439019811381
36,0.001,0.5,L2,1e-07,1.534888896818997,1.5950213851402164,1.8325514163421375,2.0179543117269527
37,0.001,0.5,L2,1e-08,1.5168519442230826,1.5883351353190427,1.8054976021773899,2.026244975194671
38,0.001,0.5,L2,1e-06,1.6307571389666364,1.6713607749093038,1.9946901749957162,2.118149033949107
39,0.001,0.5,L1,1e-07,1.5643459288935464,1.6353514386069523,1.8854055577275162,2.0819205019327356
40,0.001,0.5,L1,1e-08,1.5163801095185938,1.579790284164867,1.8136830717801058,2.0016515948427513
41,0.001,0.5,L1,1e-06,7.227221968183976,7.2399303985285455,29.80087666130686,29.89586584288203
42,0.001,0.6,L2,1e-07,1.5164357173396026,1.5788842978672986,1.8045002369208085,2.0018019188420886
43,0.001,0.6,L2,1e-08,1.4985774786611905,1.5770790173437792,1.7788528909724672,1.9985759235420009
44,0.001,0.6,L2,1e-06,1.5905436283104972,1.6394155347048056,1.934350562350519,2.0777346019492886
45,0.001,0.6,L1,1e-07,1.5313323750752277,1.5977243742623506,1.8347870146270726,2.0368304837885316
46,0.001,0.6,L1,1e-08,1.509506183742652,1.5838261400164633,1.7941965755752893,2.0115374450634818
47,0.001,0.6,L1,1e-06,7.227741370739417,7.240478715477455,29.801148764999443,29.89603228921496
