,eta,nesterov,reg_type,reg_val,tr_mee,val_mee,loss,val_loss
0,0.008,0.6,L1,1e-08,1.3469541090834412,1.5167020926003456,1.4720183642191398,1.8924156447239924
1,0.008,0.6,L1,1.5848931924611143e-08,1.3776031995854015,1.5342729600550105,1.5195633579253798,1.9365352833005218
2,0.008,0.6,L1,2.511886431509582e-08,1.4199329541874082,1.5339802468911623,1.6522403488402657,1.960357534204812
3,0.008,0.6,L1,3.981071705534969e-08,1.4246979461300155,1.5421424145075147,1.6455467645235282,1.9496336850459726
4,0.008,0.6,L1,6.30957344480193e-08,1.3986187868302509,1.5327974113829217,1.6069880043511795,1.95080407132605
5,0.008,0.6,L1,1e-07,1.4177350085904976,1.5352653728366772,1.6422513962256469,1.9521471724021253
6,0.008,0.6,L2,1e-08,1.4553417289410824,1.557633804492717,1.714446100785726,1.9888576121866333
7,0.008,0.6,L2,1.5848931924611143e-08,1.3888665562884046,1.525945598774795,1.5669867596350493,1.9403311174347833
8,0.008,0.6,L2,2.511886431509582e-08,1.4034779748891424,1.5391934396528175,1.6015847902787943,1.9529594463775657
9,0.008,0.6,L2,3.981071705534969e-08,1.4037550173228321,1.5353388915774673,1.5970183081173086,1.9406796571572278
10,0.008,0.6,L2,6.30957344480193e-08,1.3475614424471665,1.5228133124988394,1.4877201565453222,1.9241478996428183
11,0.008,0.6,L2,1e-07,1.3628311314730268,1.5246033471655942,1.5146074881315992,1.9194081591029424
12,0.008,0.62,L1,1e-08,1.3989330891400256,1.5447593620837947,1.5853452644811892,1.9338061092187029
13,0.008,0.62,L1,1.5848931924611143e-08,1.4059384062748579,1.5364018467457683,1.6145172225912996,1.950590064401486
14,0.008,0.62,L1,2.511886431509582e-08,1.4107639480815226,1.5376954115518222,1.6297465663223922,1.9478732159186372
15,0.008,0.62,L1,3.981071705534969e-08,1.3353242963465952,1.5178904097777572,1.4490265794469925,1.8773329096371196
16,0.008,0.62,L1,6.30957344480193e-08,1.3648365920861547,1.5263062370647622,1.5221537879087859,1.9238351988665874
17,0.008,0.62,L1,1e-07,1.3891051911265144,1.5299004204175068,1.571307386878419,1.9356159260215602
18,0.008,0.62,L2,1e-08,1.4175514061395884,1.539542430047167,1.6445974871186746,1.959024787733943
19,0.008,0.62,L2,1.5848931924611143e-08,1.4050130337130053,1.5346613862143472,1.6079715818548397,1.9573440680818965
20,0.008,0.62,L2,2.511886431509582e-08,1.4181559686031298,1.535262228244114,1.6381450313472223,1.9542877985495097
21,0.008,0.62,L2,3.981071705534969e-08,1.4113960534343164,1.5429587376949945,1.6395810424125303,1.9787193209944183
22,0.008,0.62,L2,6.30957344480193e-08,1.4223385620537587,1.539789179996947,1.653071399853033,1.9714297155963667
23,0.008,0.62,L2,1e-07,1.344041873163909,1.522143529008929,1.4838021962998937,1.9081940559384722
24,0.008,0.64,L1,1e-08,1.3716599031738983,1.5208764423931014,1.540850569101235,1.936840468777189
25,0.008,0.64,L1,1.5848931924611143e-08,1.4143136645680991,1.5317316576614803,1.6354235181811294,1.949595003970521
26,0.008,0.64,L1,2.511886431509582e-08,1.3597426068077334,1.5420753782013978,1.519715696159852,1.9324941226818764
27,0.008,0.64,L1,3.981071705534969e-08,1.3590700876176232,1.538685352118338,1.5211561477697486,1.933044079551519
28,0.008,0.64,L1,6.30957344480193e-08,1.3908820474618355,1.5266743842479211,1.5757994730733944,1.9383158402237417
29,0.008,0.64,L1,1e-07,1.3940345142656767,1.5314856797530174,1.607370740468415,1.9601970535355768
30,0.008,0.64,L2,1e-08,1.3989101001924353,1.5352040180224666,1.5935924993745931,1.947403411285718
31,0.008,0.64,L2,1.5848931924611143e-08,1.3896072848464396,1.529530592647535,1.5715565179189463,1.9375948981536322
32,0.008,0.64,L2,2.511886431509582e-08,1.3492961399496692,1.5232795858623767,1.502582960831209,1.9015687897065356
33,0.008,0.64,L2,3.981071705534969e-08,1.3992070166676394,1.5413497100952878,1.595329877879065,1.9244131498640895
34,0.008,0.64,L2,6.30957344480193e-08,1.3942708512886686,1.5331633996099736,1.5924309010265045,1.9521412542360868
35,0.008,0.64,L2,1e-07,1.3922575999968407,1.5321348755126774,1.6011524564809438,1.9515204070508092
36,0.008,0.66,L1,1e-08,1.3602599310202963,1.5233598595927464,1.5229422056928872,1.9054916022776751
37,0.008,0.66,L1,1.5848931924611143e-08,1.419798298079529,1.5486132708908427,1.6463494048247744,1.984346859960679
38,0.008,0.66,L1,2.511886431509582e-08,1.4316733545712215,1.5439920237476716,1.6720042496922733,1.966413842237609
39,0.008,0.66,L1,3.981071705534969e-08,1.4040848112651467,1.5349619338428753,1.6227932003552823,1.955252077548824
